tLat,tLon,abort
42.307,-71.335,0.0
42.307,-71.335,1.0
42.307,-71.335,0.0
42.307,-71.335,1.0
42334.0,7198.0,1.0
42356.0,71234.0,1.0
42356.0,71234.0,1.0
42356.0,71234.0,1.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
42.307,-71.335,0.0
