Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT_1575AT_JOT-L,1,1575AT43A0040001E,
AE2,PinHeader_1x01_P2.54mm_Vertical,1,Antenna,
BT1,MS621R,1,MS621R,
"C1, C17, C18",0603,3,100 nF,C14663
"C10, C11, C12, C13, C16, C2, C3, C4, C7, C8",0402,10,100 nF,C1525
"C14, C20, C22, C9",0603,4,1 uF,C15849
"C15, C5",0402,2,1 uF,C52923
C19,0603,1,10 uF,C19702
C21,0402,1,1 nF,C1523
"C23, C24",1206,2,47 uF,C139825
C6,0402,1,100 pF,C1546
"D1, D2",0603,2,YELLOW,C72038
D3,0603,1,ERR_RED,C2286
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,PinHeader_1x09_P2.54mm_Vertical,1,Signal,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Power,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Button,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,C136423
J5,PinHeader_2x05_P1.27mm_Vertical_SMD,1,J Link,C2881910
J7,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
"J8, J9",PinHeader_1x03_P2.54mm_Vertical,2,Rudder,
L1,0402,1,33 nH,C90178
"Q1, Q2",SOT-23,2,BSS138,C5224268
"Q3, Q4",SC-59_Handsoldering,2,DMN1019USN-13,C145103
"R1, R12, R13, R5",0603,4,1.8 K,C4177
"R10, R14, R2",0402,3,1 K,C11702
"R11, R9",0402,2,5.1 K,C25905
"R15, R16",0402,2,1 M,C26083
"R17, R18, R3, R4, R7, R8",0402,6,10 K,C25744
"R19, R20",0402,2,10,C25077
R6,0402,1,220,C25091
SW1,SW_SPDT_PCM12,1,EEPROM,C963206
SW2,SW_SPST_CK_RS282G05A3,1,RESET,C2888954
SW3,SW_SPDT_PCM12,1,PWR_SW,C963206
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24C512C-SSHM-T,C54668
U10,Ai-Thinker-Ra-01-LoRa,1,Ra-01,C2830750
U2,ATGM336H,1,ATGM336H,C90770
U3,SOT-23-5,1,BL24C32F-RRRC,C5185883
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U5,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,DSK321STD,C383430
U6,SOT-23-5,1,CJ6206B18M,C2829375
U7,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U8,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
U9,SOT-23-3,1, XC6206P332MR-G,C5446
