Designator,Mid X,Mid Y,Rotation,Layer
AE1,161.9869,-70.264,180.0,top
AE2,159.766,-98.806,0.0,bottom
BT1,177.242849,-78.119849,45.0,bottom
C1,181.673,-71.4615,180.0,top
C10,182.499,-83.665,180.0,top
C11,184.658,-85.062,90.0,top
C12,174.145,-86.741,270.0,top
C13,184.658,-86.967,90.0,top
C14,188.115,-87.884,180.0,top
C15,173.891,-88.773,270.0,top
C16,170.716,-94.234,180.0,top
C17,184.312,-97.293,270.0,top
C18,171.039,-97.409,0.0,top
C19,171.039,-98.933,0.0,top
C2,187.988,-77.089,0.0,top
C20,187.279,-100.339,0.0,top
C21,177.389,-100.965,0.0,top
C22,187.279,-106.435,180.0,top
C23,178.532,-114.427,180.0,top
C24,187.471,-114.427,180.0,top
C3,162.877,-77.8115,270.0,top
C4,187.706,-78.359,0.0,top
C5,189.611,-78.359,180.0,top
C6,170.688,-81.534,90.0,top
C7,168.43,-82.042,0.0,top
C8,175.006,-82.55,90.0,top
C9,186.591,-82.677,0.0,top
D1,182.435,-74.7635,270.0,top
D2,162.687,-93.601,90.0,top
D3,162.687,-97.733,90.0,top
J1,159.766,-84.826,0.0,bottom
J2,192.405,-82.931,0.0,bottom
J3,164.846,-81.661,90.0,bottom
J4,190.754,-94.107,90.0,top
J5,176.911,-95.803,90.0,top
J7,182.245,-101.727,90.0,bottom
J8,180.579,-117.475,90.0,bottom
J9,189.518,-117.475,90.0,bottom
L1,167.132,-70.762,270.0,top
Q1,181.9504,-80.1723,270.0,top
Q2,185.3616,-80.1647,270.0,top
Q3,183.104,-112.777,270.0,top
Q4,192.043,-112.777,270.0,top
R1,166.052,-74.295,180.0,top
R10,163.957,-93.093,270.0,top
R11,184.185,-95.261,180.0,top
R12,166.207,-95.504,180.0,top
R13,166.207,-97.028,180.0,top
R14,163.957,-97.225,270.0,top
R15,177.417,-101.981,0.0,top
R16,177.417,-102.997,0.0,top
R17,183.104,-109.347,0.0,top
R18,192.043,-109.347,0.0,top
R19,180.31,-112.143,90.0,top
R2,181.165,-75.2735,270.0,top
R20,189.249,-112.141,90.0,top
R3,181.1884,-77.7038,0.0,top
R4,184.5996,-77.7032,0.0,top
R5,166.052,-79.375,180.0,top
R6,178.31,-80.772,180.0,top
R7,181.1864,-82.6568,0.0,top
R8,184.5976,-82.6562,0.0,top
R9,184.185,-92.34,180.0,top
SW1,192.057,-72.771,90.0,top
SW2,177.8,-86.27,90.0,top
SW3,191.788,-104.046,90.0,top
U1,186.69,-72.836,180.0,top
U10,166.99,-109.983,270.0,top
U2,174.07,-74.8585,180.0,top
U3,165.671,-76.835,0.0,top
U4,188.651,-80.636,270.0,top
U5,172.834,-82.491,180.0,top
U6,187.353,-85.289,270.0,top
U7,182.007,-86.308,90.0,top
U8,167.8935,-88.261,180.0,top
U9,187.279,-103.387,270.0,top
