Designator,Mid X,Mid Y,Rotation,Layer
AE1,149.2504,-83.566,90.0,top
AE2,157.226,-83.566,90.0,top
BT1,154.559,-102.7615,90.0,bottom
C2,151.638,-102.983,0.0,top
C3,156.477,-89.916,0.0,top
C4,156.51,-85.217,180.0,top
C5,156.464,-91.578,180.0,top
D2,146.048,-103.237,0.0,top
J2,141.986,-89.662,0.0,bottom
L1,147.701,-85.217,180.0,top
L2,156.487,-86.36,0.0,top
R2,156.4132,-99.4156,0.0,top
R3,156.4132,-97.4852,180.0,top
R7,148.717,-103.4288,0.0,top
U1,149.098,-96.063,90.0,top
U2,156.403,-94.6205,270.0,top
U3,156.477,-88.011,180.0,top
